osm_id,code,fclass,population,name,objectid2,province,district,tehsil,lat,lng
8920768347,1003,village,0,نڈالہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.2925,75.2395
8920768348,1003,village,0,ہاؤ کلاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2865,75.2339
8920768349,1003,village,0,ہاؤ خورد,381,PUNJAB,NAROWAL,SHAKARGARH,32.2818,75.2312
8920768350,1003,village,0,نڈالہ مغلاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.2896,75.2444
8920768383,1003,village,0,رامڑا,381,PUNJAB,NAROWAL,SHAKARGARH,32.2815,75.2178
8920768400,1003,village,0,گورسیال,381,PUNJAB,NAROWAL,SHAKARGARH,32.2651,75.2098
8920768401,1003,village,0,گیال,381,PUNJAB,NAROWAL,SHAKARGARH,32.2484,75.2038
8923053437,1003,village,0,رامبڑہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.3169,75.0377
8923053438,1003,village,0,شہزاد پور,382,PUNJAB,NAROWAL,ZAFARWAL,32.323,75.0471
8923053439,1003,village,0,,381,PUNJAB,NAROWAL,SHAKARGARH,32.3009,75.0706
8923053440,1003,village,0,سریا,381,PUNJAB,NAROWAL,SHAKARGARH,32.3155,75.0555
8923053441,1003,village,0,منیگرہ,382,PUNJAB,NAROWAL,ZAFARWAL,32.3226,75.0605
8923053442,1003,village,0,جیندھڑ,382,PUNJAB,NAROWAL,ZAFARWAL,32.3322,75.0535
8923053443,1003,village,0,رگالہ,382,PUNJAB,NAROWAL,ZAFARWAL,32.3362,75.0598
8923053444,1003,village,0,کریال,382,PUNJAB,NAROWAL,ZAFARWAL,32.3397,75.0665
8923053445,1003,village,0,سنیاری خورد,382,PUNJAB,NAROWAL,ZAFARWAL,32.3428,75.0826
8923053446,1003,village,0,ٹھیکریان خورد,382,PUNJAB,NAROWAL,ZAFARWAL,32.3255,75.065
8923053447,1003,village,0,ٹھیکریاں کلاں,382,PUNJAB,NAROWAL,ZAFARWAL,32.3271,75.0688
8923053448,1003,village,0,پیلا ڈوگراں,381,PUNJAB,NAROWAL,SHAKARGARH,32.3079,75.078
8923053449,1003,village,0,پیلا گجراں,381,PUNJAB,NAROWAL,SHAKARGARH,32.3141,75.0826
8923258378,1003,village,1440,اگوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.3036,75.1166
8923258379,1003,village,0,کوٹلی,381,PUNJAB,NAROWAL,SHAKARGARH,32.3056,75.1174
8923258380,1003,village,0,بھگوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.3109,75.1148
8923258381,1003,village,0,چندوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.3148,75.1162
8923258382,1003,village,0,موٹھی,381,PUNJAB,NAROWAL,SHAKARGARH,32.3185,75.115
8923258383,1003,village,2670,دسری,381,PUNJAB,NAROWAL,SHAKARGARH,32.2916,75.0906
8923258384,1003,village,0,شیرپور,381,PUNJAB,NAROWAL,SHAKARGARH,32.3172,75.1037
8923597072,1003,village,1276,چھجوال,381,PUNJAB,NAROWAL,SHAKARGARH,32.3447,75.1479
8923597073,1003,village,0,ڈوڈیال,382,PUNJAB,NAROWAL,ZAFARWAL,32.3511,75.1445
8923597074,1003,village,0,ترکھانہ بدھو,381,PUNJAB,NAROWAL,SHAKARGARH,32.3573,75.1521
8923597075,1003,village,0,ترکھانہ مریدا,381,PUNJAB,NAROWAL,SHAKARGARH,32.3528,75.1518
8923597076,1004,hamlet,0,شریف پورہ,381,PUNJAB,NAROWAL,SHAKARGARH,32.3506,75.1513
8923597089,1003,village,0,شہباز پور,382,PUNJAB,NAROWAL,ZAFARWAL,32.3716,75.1542
8923597090,1003,village,0,کھرال جوالہ,382,PUNJAB,NAROWAL,ZAFARWAL,32.3793,75.1547
8923597091,1003,village,1050,خیرا,382,PUNJAB,NAROWAL,ZAFARWAL,32.3877,75.1416
8923597092,1003,village,1233,ہرڑ خورد,382,PUNJAB,NAROWAL,ZAFARWAL,32.3746,75.132
8923597093,1003,village,589,ہرڑ کلاں,382,PUNJAB,NAROWAL,ZAFARWAL,32.376,75.124
8923597094,1003,village,398,سہال,382,PUNJAB,NAROWAL,ZAFARWAL,32.3646,75.1292
8923623447,1003,village,0,چھنی باغوالی,381,PUNJAB,NAROWAL,SHAKARGARH,32.316,75.2402
8923639717,1003,village,926,ٹیٹرھا کلاں,382,PUNJAB,NAROWAL,ZAFARWAL,32.359,75.1278
8923639755,1004,hamlet,448,سمسیال,382,PUNJAB,NAROWAL,ZAFARWAL,32.3637,75.1143
8923639756,1003,village,907,کوہلیاں,382,PUNJAB,NAROWAL,ZAFARWAL,32.3673,75.1134
8923639774,1003,village,0,کوہلیاں خورد,382,PUNJAB,NAROWAL,ZAFARWAL,32.3749,75.1122
8923641541,1003,village,0,جھنگڑواں,381,PUNJAB,NAROWAL,SHAKARGARH,32.3261,75.2156
8923641542,1003,village,0,پنڈوری,381,PUNJAB,NAROWAL,SHAKARGARH,32.321,75.2138
8923659522,1003,village,2375,پھگواڑی مسلمانیاں,381,PUNJAB,NAROWAL,SHAKARGARH,32.233,75.2103
