osm_id,code,fclass,name,objectid2,province,district,tehsil,lat,lng
5083582931,2301,restaurant,Muslim Food,0,SINDH,KARACHI,LIAQATABAD TOWN,24.911,67.0287
5083582932,2204,park,Zeeshan Haider Shaheed Park,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9102,67.029
5083582935,2301,restaurant,Quetta Tea Restaurant,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9105,67.0273
5083582936,2084,college,Pakistan Polytechic College,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9105,67.0265
5083582937,2601,bank,ایم سی بی بینک,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9105,67.0261
5083708821,2522,sports_shop,NS Sports,401,PUNJAB,RAWALPINDI,RAWALPINDI,33.6442,73.0589
5083800608,2084,college,Pakistan Institute of Management,0,SINDH,KARACHI,SADDAR TOWN,24.8141,67.0281
5083857176,2301,restaurant,United Biryani Center,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9111,67.0261
5083857177,2301,restaurant,Muhammadi Pakaw Center,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9111,67.0248
5083878776,2082,school,HN Public School,0,SINDH,KARACHI,GULBERG TOWN,24.9403,67.081
5083878790,2016,market_place,Allah wala Shopping Center,0,SINDH,KARACHI,GULBERG TOWN,24.9429,67.085
5083902067,2082,school,Sultan Muhammad Shah Aga Khan school,0,SINDH,KARACHI,GULBERG TOWN,24.9241,67.063
5083902068,2081,university,Aga Khan University Examination Board,0,SINDH,KARACHI,GULBERG TOWN,24.9232,67.062
5083980024,2082,school,Dehli Boys & Girls Govt School,0,SINDH,KARACHI,GULBERG TOWN,24.9163,67.0539
5083980026,2904,fountain,,0,SINDH,KARACHI,GULBERG TOWN,24.9141,67.057
5084119281,2110,hospital,Sahar Clinic,0,SINDH,KARACHI,N.NAZIMABAD TOWN,24.9621,67.0628
5084136002,2301,restaurant,Al Madina Fast Food,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9664,67.0665
5084136003,2301,restaurant,Haji Ahktar Pakwan & Baryani Center,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9666,67.0664
5084136004,2301,restaurant,Haji Ahktar Pakwan & Baryani Center,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9668,67.0664
5084136005,2301,restaurant,Karachi Pakwan,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9674,67.0664
5084136006,2301,restaurant,Fayyaz Foods,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9675,67.0664
5084136007,2301,restaurant,Haji Asghar Rabri,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9679,67.0663
5084136008,2301,restaurant,Mehran Ice Cream,0,SINDH,KARACHI,NEW KARACHI TOWN,24.968,67.0664
5084136010,2301,restaurant,Al-Haaj Akhtar Restaurant,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9686,67.0663
5084136011,2301,restaurant,Qureshi Kababish & Nihari Hotel,0,SINDH,KARACHI,NEW KARACHI TOWN,24.966,67.0674
5084136013,2301,restaurant,Fazl e Rabbi daal chawal,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9661,67.0679
5084136014,2303,cafe,Masha Allah Cafe Day Night,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9661,67.0674
5084136016,2101,pharmacy,Jameel Medicos,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9669,67.0685
5084136017,2601,bank,Muslim Commercial Bank,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9696,67.0671
5084136019,2601,bank,Soneri Bank Limited,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9703,67.0671
5084136020,2303,cafe,Bismillah Kachori Corner,0,SINDH,KARACHI,NEW KARACHI TOWN,24.972,67.067
5084136121,2301,restaurant,Kashif Bakers and Sweets,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9711,67.0689
5084136122,2301,restaurant,Pizza Bite - North Karachi Branch 2,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9754,67.066
5084136123,2302,fast_food,United Queen Foods,0,SINDH,KARACHI,NEW KARACHI TOWN,24.9745,67.066
5084174885,2541,car_dealership,Amina Motors,0,SINDH,KARACHI,N.NAZIMABAD TOWN,24.9622,67.0641
5084174888,2111,clinic,Qureshi Health Center,0,SINDH,KARACHI,N.NAZIMABAD TOWN,24.961,67.0631
5084174889,2101,pharmacy,Sana Medicos,0,SINDH,KARACHI,N.NAZIMABAD TOWN,24.9609,67.063
5084174890,2302,fast_food,Warsi Pakwan & Fast Foods,0,SINDH,KARACHI,N.NAZIMABAD TOWN,24.9611,67.0632
5084174891,2301,restaurant,Lasani 7,0,SINDH,KARACHI,N.NAZIMABAD TOWN,24.9609,67.063
